card_id,character_name,card_type,color,required_enargy,generated_enargy,affinity,ap,bp,effect,trigger,rarity,card_number,card_img,created_at,updated_at
1,家入 硝子,キャラクター,青,3,2,,1,3000,相手の場に黄か紫のカードがある場合、手札にあるこのカードの必要エナジーを{青×1}減らす。,,C,UA02BT/JJK-1-035,UA02BT_JJK-1-035.png,2025/6/10 12:41,2025/6/10 12:41
2,伊地知 潔高,キャラクター,青,0,1,,1,1000,【起動メイン】[レストにする] 『ターン1』このターン中、このキャラの発生エナジー+{青}。メインフェイズ終了時、このキャラを退場させる。,,C,UA02BT/JJK-1-036,UA02BT_JJK-1-036.png,2025/6/10 12:41,2025/6/10 12:41
3,虎杖 悠仁,キャラクター,青,0,1,,1,1500,,ゲット,C,UA02BT/JJK-1-037,UA02BT_JJK-1-037.png,2025/6/10 12:41,2025/6/10 12:41
4,虎杖 悠仁,キャラクター,青,2,1,,1,3000,【登場時】自分の山札の上から5枚見る。その中から〈宿儺の指〉を1枚まで公開し手札に加える。残りを望む順で自分の山札の下に置く。手札に加えた場合、自分の手札を1枚自分の山札の下に置く。,,U,UA02BT/JJK-1-038,UA02BT_JJK-1-038.png,2025/6/10 12:41,2025/6/10 12:41
5,虎杖 悠仁,キャラクター,青,3,2,,2,3000,【登場時】BP3500以下の相手のフロントLのキャラを1枚まで選ぶ。自分の場外に〈宿儺の指〉が1～2枚ある場合、選んだキャラを手札に戻す。自分の場外に〈宿儺の指〉が3枚以上ある場合、選んだキャラを退場させる。,カラー,R,UA02BT/JJK-1-039,UA02BT_JJK-1-039.png,2025/6/10 12:41,2025/6/10 12:41
6,虎杖 悠仁,キャラクター,青,4,1,,1,4000,"【レイド】〈虎杖 悠仁〉アクティブにし、フロントLに移動できる
【登場時】BP4000以下の相手のフロントLのキャラを1枚まで選び、手札に戻す。",レイド,SR,UA02BT/JJK-1-040,UA02BT_JJK-1-040.png,2025/6/10 12:41,2025/6/10 12:41
7,狗巻 棘,キャラクター,青,3,1,,1,3500,【起動メイン】[フロントLにある場合]『ターン1』BP1000以上の相手の場のキャラを1枚まで選び、このターン中、BP-500。,,U,UA02BT/JJK-1-041,UA02BT_JJK-1-041.png,2025/6/10 12:41,2025/6/10 12:41
8,猪野 琢真,キャラクター,青,0,1,,1,2000,,ドロー,C,UA02BT/JJK-1-042,UA02BT_JJK-1-042.png,2025/6/10 12:41,2025/6/10 12:41
9,釘崎 野薔薇,キャラクター,青,0,1,,1,1500,【登場時】カードを1枚引き、自分の手札を1枚場外に置く。,ドロー,C,UA02BT/JJK-1-043,UA02BT_JJK-1-043.png,2025/6/10 12:41,2025/6/10 12:41
10,釘崎 野薔薇,キャラクター,青,1,2,,1,1500,【登場時】必要エナジーが1以下の自分の場の他のキャラを1枚手札に戻す。戻せない場合、このキャラを手札に戻す。,,U,UA02BT/JJK-1-044,UA02BT_JJK-1-044.png,2025/6/10 12:41,2025/6/10 12:41
